#SELECT * FROM minijpas.CalibTileImage
"TILE_ID","CALIB_PROCEDURE","ZPT","ERRZPT","IS_REFERENCE_METHOD"
2365,5,22.3999996,0.0399999991,1
2366,4,22.7439995,0.270999998,0
2366,5,22.7070007,0.0399999991,1
2367,4,22.7670002,0.289999992,0
2367,5,22.7199993,0.0399999991,1
2368,4,22.6509991,0.31400001,0
2368,5,22.5919991,0.0399999991,1
2369,4,22.5639992,0.234999999,0
2369,5,22.5020008,0.0399999991,1
2451,4,22.5380001,0.129999995,0
2451,5,22.4580002,0.0399999991,1
2452,4,22.3540001,0.162,0
2452,5,22.2959995,0.0399999991,1
2453,4,22.5310001,0.191,0
2453,5,22.4860001,0.0399999991,1
2454,4,22.4139996,0.115999997,0
2454,5,22.3120003,0.0399999991,1
2455,4,22.2830009,0.216999993,0
2455,5,22.2310009,0.0399999991,1
2456,4,22.2029991,0.109999999,0
2456,5,22.1299992,0.0399999991,1
2457,4,22.2579994,0.209999993,0
2457,5,22.1989994,0.0399999991,1
2458,4,22.2530003,0.217999995,0
2458,5,22.2250004,0.0399999991,1
2282,4,22.6350002,0.0579999983,0
2282,5,22.6809998,0.0399999991,1
2283,4,22.2000008,0.252000004,0
2283,5,22.1860008,0.0399999991,1
2284,4,21.8719997,0.165000007,0
2284,5,21.8419991,0.0399999991,1
2285,4,22.8770008,0.125,0
2285,5,22.941,0.0399999991,1
2286,4,22.0,0.160999998,0
2286,5,22.007,0.0399999991,1
2287,4,22.3889999,0.125,0
2287,5,22.3789997,0.0399999991,1
2288,4,22.7579994,0.136999995,0
2288,5,22.7700005,0.0399999991,1
2237,4,22.4769993,0.209999993,0
2237,5,22.4890003,0.0399999991,1
2238,4,25.2789993,0.0979999974,0
2238,5,25.3799992,0.0399999991,1
2239,4,25.3939991,0.187000006,0
2239,5,25.4290009,0.0399999991,1
2240,4,23.4599991,0.284999996,0
2240,5,23.3400002,0.0399999991,1
2241,4,25.3549995,0.156000003,0
2241,5,25.3619995,0.0399999991,1
2405,4,22.4470005,0.175999999,0
2405,5,22.4109993,0.0399999991,1
2406,4,25.3439999,0.261999995,0
2406,5,25.3150005,0.0399999991,1
2259,4,22.2730007,0.191,0
2259,5,22.2460003,0.0399999991,1
2260,4,22.0139999,0.239999995,0
2260,5,22.0259991,0.0399999991,1
2261,4,22.5020008,0.172000006,0
2261,5,22.4909992,0.0399999991,1
2262,4,22.1439991,0.206,0
2262,5,22.1609993,0.0399999991,1
2263,4,22.0130005,0.179000005,0
2263,5,22.0009995,0.0399999991,1
2264,4,21.9899998,0.279000014,0
2264,5,22.0020008,0.0399999991,1
2265,4,22.0459995,0.208000004,0
2265,5,22.059,0.0399999991,1
2266,4,22.5930004,0.202000007,0
2266,5,22.5739994,0.0399999991,1
2309,4,22.7730007,0.135000005,0
2309,5,22.7819996,0.0399999991,1
2310,4,22.7630005,0.166999996,0
2310,5,22.7700005,0.0399999991,1
2311,4,22.9069996,0.148000002,0
