#SELECT * FROM minijpas.TileImage
"TILE_ID","FILTER_ID","REF_TILE_ID","name","RA","DEC","hpix5","ZPT","ERRZPT","CALIB_PROCEDURE","NOISE","NOISE_RMS","ADULEVEL","ADULEVEL_RMS","NCOMBINED","TEXPOSED","EFECTIME","EXPTIME","FWHMG","FWHMG_RMS","FWHM_MIN","FWHM_MAX","FWHM_MEAN","MOFFATBETA_MEAN","ELLIPTICITY_MEAN","PIXSCALE","DATASUM","CHECKSUM","SINGLE_CATALOGUE_DATASUM","DUAL_CATALOGUE_DATASUM","DEPTH2FWHM5S","DEPTH3ARC5S","DEPTHARCSEC2","M50S","KS","M50G","KG","APER_COR_6_0","OBSERVATION_DATES"
2405,50,2406,"AEGIS003-v201912_J0860_swp",215.387923,53.1831655,2856,22.4109993,0.0399999991,5,0.0225000009,0.00159999996,0.0,0.00300000003,4,480.0,479.350006,1.0,1.37399995,0.0410000011,1.22612,1.46695995,1.28938997,2.90760994,0.0320942998,0.2267,1906790561,"VQ3XVO0UVO0UVO0U",579296621,2000934794,22.2743492,22.1100826,23.1717472,21.3143654,6.1770196,20.6557655,3.81869984,-0.0841699988,20180516024503 20180516024025 20180516024927 20180516024711
2351,1,2406,"AEGIS003-v201912_uJAVA_swp",215.387923,53.1831655,2856,22.3120003,0.0399999991,5,0.00769999996,0.000699999975,0.00100000005,0.00100000005,8,960.0,942.48999,1.0,1.49600005,0.0179999992,1.36063004,1.47046995,1.37093997,2.16912007,0.0299816001,0.2267,1371254628,"1pa21oW11oa11oW1",3563120136,4042446847,23.2729931,23.175312,24.2369766,22.1209316,5.75404406,21.3939381,4.41176462,-0.0595260002,20190618233336 20190629215948 20190618233122 20190629215730 20190629220443 20190618232908 20190618233542 20190629220231
2352,2,2406,"AEGIS003-v201912_J0378_swp",215.387923,53.1831655,2856,21.8969994,0.0399999991,5,0.00669999979,0.00039999999,0.00100000005,0.00100000005,4,480.0,475.980011,1.0,1.63399994,0.0219999999,1.50007999,1.60923004,1.54040003,2.58096004,0.0158485994,0.2267,1111887675,"nFiPo9gOnCgOn9gO",157484359,449593074,22.8824959,22.9113522,23.9730167,21.8135509,7.19945431,21.1813126,4.31551695,-0.0560226999,20180814221342 20180814222008 20180814221758 20180814221548
2353,3,2406,"AEGIS003-v201912_J0390_swp",215.387923,53.1831655,2856,22.3990002,0.0399999991,5,0.00510000018,0.00039999999,0.00100000005,0.00100000005,12,1440.0,1234.31995,1.0,1.148,0.0240000002,1.02769995,1.16237998,1.11071002,2.28934002,0.0124136005,0.2267,964403811,"1EJe3CJc1CJc1CJc",352547566,1377195806,24.0358391,23.7096138,24.7712784,23.0207577,7.11925364,22.2041588,3.88777709,-0.0591545999,20180616002820 20180616003535 20190618234235 20190629220945 20180616003307 20190618234024 20190629220736 20190629221421 20180616003041 20190618233819 20190618234529 20190629221212
2354,4,2406,"AEGIS003-v201912_J0400_swp",215.387923,53.1831655,2856,22.3449993,0.0399999991,5,0.00779999979,0.000500000024,0.00100000005,0.00100000005,4,480.0,473.779999,1.0,1.46399999,0.0289999992,1.33441997,1.75332999,1.34595001,2.23238993,0.0300303008,0.2267,2999804308,"nZhFqWgEnWgEnWgE",3477988898,3494948161,23.3119583,23.1943016,24.2559681,22.1944351,6.31229925,21.5277061,4.71695042,-0.0702890009,20180708230227 20180708230925 20180708230707 20180708230449
2355,5,2406,"AEGIS003-v201912_J0410_swp",215.387923,53.1831655,2856,22.6110001,0.0399999991,5,0.00879999995,0.000600000028,0.00100000005,0.00100000005,8,960.0,915.940002,1.0,1.28499997,0.0250000004,1.15424001,1.53754997,1.16600001,2.05382991,0.0231980998,0.2267,20117775,"KTiEMTZEKTfEKTZE",740443112,2655306787,23.6028137,23.3293324,24.3909969,22.4346542,6.24596643,21.7741013,4.16200829,-0.0773783028,20180728222255 20180728222926 20180801213921 20180728222710 20180801213655 20180728222503 20180801213439 20180801214139
2356,6,2406,"AEGIS003-v201912_J0420_swp",215.387923,53.1831655,2856,22.7600002,0.0399999991,5,0.0210999995,0.0013,0.00100000005,0.00200000009,8,960.0,763.97998,1.0,0.938000023,0.0199999996,0.839248002,0.888727009,0.861330986,2.27616,0.0287237,0.2267,2797573674,"YaO6aUN6ZZN6aZN6",1362943719,3575514916,23.1311359,22.5288315,23.590498,22.122982,7.5410285,21.2300873,4.28352833,-0.0432808995,20180621232839 20181025191627 20181025192250 20180621232632 20180621233326 20181025192042 20180621233112 20181025191833
2357,7,2406,"AEGIS003-v201912_J0430_swp",215.387923,53.1831655,2856,22.4139996,0.0399999991,5,0.00889999978,0.00039999999,0.00100000005,0.00100000005,4,480.0,478.850006,1.0,1.16700006,0.0309999995,1.04170001,1.55715001,1.07210004,2.05954003,0.0151399001,0.2267,4224969588,"YgFaYZDSYfDYYZDY",3952230757,2199269035,23.4847031,23.1200638,24.1817284,22.3538494,6.84048605,21.5824757,4.11597443,-0.0691479966,20180804212444 20180804213121 20180804212912 20180804212658
2358,8,2406,"AEGIS003-v201912_J0440_swp",215.387923,53.1831655,2856,22.8889999,0.0399999991,5,0.0092000002,0.000500000024,0.00100000005,0.00100000005,12,1440.0,1074.45996,1.0,1.05799997,0.00800000038,0.969838023,1.01251996,0.970547974,2.19854999,0.0188143998,0.2267,2715224545,"aQdEcQbCaQbCaQbC",539410975,3442142452,24.0317535,23.5590687,24.6207352,23.0043201,7.01104307,22.2011051,3.6744585,-0.0557360016,20180714214950 20190717230010 20190719222745 20190719223453 20180714214726 20190717225802 20190717230529 20190719223236 20180714214438 20180714215203 20190717230249 20190719223028
2359,10,2406,"AEGIS003-v201912_J0460_swp",215.387923,53.1831655,2856,22.8309994,0.0399999991,5,0.00700000022,0.000500000024,0.00100000005,0.00100000005,13,1560.0,1369.23999,1.0,1.14100003,0.0359999985,1.01923001,1.23394001,1.13911998,2.97239995,0.00607101014,0.2267,80742259,"WpHJaoFJWoFJaoFJ",3116414667,996532113,24.0965977,23.7977924,24.8594589,23.1794567,5.967978,22.4900608,4.07344007,-0.0633480027,20190629222131 20180616004016 20180616004842 20190618235109 20190629221704 20180616004612 20190618234747 20190618235532 20190629222549 20180616004323 20180616005152 20190618235326 20190629221913
2360,9,2406,"AEGIS003-v201912_J0450_swp",215.387923,53.1831655,2856,22.4379997,0.0399999991,5,0.0245999992,0.00150000001,0.00100000005,0.00300000003,4,480.0,476.850006,1.0,1.227,0.023,1.12581003,1.32647002,1.15534997,2.85115004,0.0303760003,0.2267,3123729494,"Zp84Zn51Zn51Zn51",36203322,724953896,22.3236446,22.0402012,23.1018658,21.3786945,6.53161335,20.5419636,4.84268856,-0.0363342017,20180819220905 20180819220653 20180819221343 20180819221127
2361,12,2406,"AEGIS003-v201912_J0480_swp",215.387923,53.1831655,2856,22.7649994,0.0399999991,5,0.00999999978,0.000600000028,0.00100000005,0.00100000005,8,960.0,921.72998,1.0,1.21399999,0.0280000009,1.09315002,1.60185003,1.10506999,2.09783006,0.0178977996,0.2267,3736685392,"WpPoanOmZnOmanOm",3188798137,2788578743,23.6762924,23.3445377,24.4062042,22.4948273,6.83832026,21.8274632,4.13005161,-0.0818047002,20180728223151 20180728223817 20180801214816 20180728223608 20180801214609 20180728223358 20180801214403 20180801215026
2362,11,2406,"AEGIS003-v201912_J0470_swp",215.387923,53.1831655,2856,22.6270008,0.0399999991,5,0.00939999986,0.000500000024,0.00100000005,0.00100000005,4,480.0,477.850006,1.0,1.37300003,0.0309999995,1.25041997,1.67989004,1.25434005,2.28429008,0.0340033993,0.2267,149340626,"Z880d670Z670b670",2309414683,1425021044,23.4679089,23.2737179,24.3353844,22.3409748,6.57949543,21.6303196,4.20008373,-0.074035801,20180708231619 20180708231406 20180708231151 20180708231827
2363,14,2406,"AEGIS003-v201912_J0500_swp",215.387923,53.1831655,2856,22.3880005,0.0399999991,5,0.00960000046,0.000600000028,0.0,0.00100000005,4,480.0,479.140015,1.0,0.92900002,0.0359999985,0.837621987,1.45902002,0.854785979,2.47693992,0.0339003988,0.2267,384437691,"ZcMAgcL4ZcLAfcL3",1670365454,1487431972,23.6224442,23.0118599,24.0735264,22.5512066,6.24092436,21.7170963,3.55667377,-0.0603174008,20180804213615 20180804213402 20180804214042 20180804213833
2364,13,2406,"AEGIS003-v201912_J0490_swp",215.387923,53.1831655,2856,22.8250008,0.0399999991,5,0.0236000009,0.00120000006,0.00100000005,0.00300000003,4,480.0,478.540009,1.0,0.893000007,0.0140000004,0.829087019,0.870239973,0.838144004,3.24354005,0.0162087996,0.2267,4192611318,"3ThB4QZ93QfA3QZ7",3887509283,1689907905,23.1041889,22.4722576,23.5339241,22.1799488,5.64521551,21.2238483,4.04387283,-0.0429774001,20180621233635 20180621234306 20180621234055 20180621233846
