#SELECT * FROM jnep.TileImage
"TILE_ID","FILTER_ID","REF_TILE_ID","name","RA","DEC","hpix5","ZPT","ERRZPT","CALIB_PROCEDURE","NOISE","NOISE_RMS","ADULEVEL","ADULEVEL_RMS","NCOMBINED","TEXPOSED","EFECTIME","EXPTIME","FWHMG","FWHMG_RMS","FWHM_MIN","FWHM_MAX","FWHM_MEAN","MOFFATBETA_MEAN","ELLIPTICITY_MEAN","PIXSCALE","DATASUM","CHECKSUM","SINGLE_CATALOGUE_DATASUM","DUAL_CATALOGUE_DATASUM","DEPTH2FWHM5S","DEPTH3ARC5S","DEPTHARCSEC2","M50S","KS","M50G","KG","APER_COR_6_0","APER_COR_ERR_6_0","OBSERVATION_DATES"
2486,25,2520,"JNEP-v202106_J0610_swp",260.61,65.78,2902,22.8150005,0.0399999991,8,0.00960000046,0.000600000028,0.0,0.00100000005,13,1560.0,1400.64001,1.0,1.19500005,0.0670000017,1.00149,1.56235003,1.29706001,2.03338003,0.0256035998,0.227,303424374,"3dU46aS43aS43aS4",1468028785,78347068,23.5981236,23.4402962,24.5019608,22.5248585,6.38385201,22.0064583,5.06045675,-0.116391003,0.00421125023,20180709014829 20180709014602 20180709014332 20180709014120 20180709013911 20180707022734 20180707022518 20180707022306 20180707022057 20180705021406 20180705021158 20180705020950 20180705020702
2487,26,2520,"JNEP-v202106_J0620_swp",260.61,65.78,2902,22.7639999,0.0399999991,8,0.00730000017,0.000600000028,0.0,0.00100000005,40,4800.0,4585.27002,1.0,1.12100005,0.0970000029,0.909198999,1.38063002,1.29790998,3.07202005,0.0450355001,0.227,2977814293,"9FRiFCRZ9CRfCCRZ",2989250942,1023295442,23.8437843,23.6866665,24.748333,22.9351826,6.14359188,22.4917927,4.66090488,-0.0747350007,0.00331469998,20180723014014 20180729015915 20180723013757 20180729015652 20180723013540 20180729015447 20180721025315 20180729015241 20180721025101 20180729015035 20180721024847 20180729014825 20180721024610 20180729014620 20180727012845 20180727012640 20180727012039 20180727011834 20180727011624 20180727011418 20180727011208 20180727011003 20180726010520 20180726010237 20180726010025 20180726005810 20180725004415 20180725004210 20180725003940 20180725003735 20180725003512 20180725003306 20180725002823 20180725002618 20180724005713 20180724005503 20180724005252 20180724005017 20180723014331 20180729020120
2488,21,2520,"JNEP-v202106_J0570_swp",260.61,65.78,2902,22.4190006,0.0399999991,8,0.00879999995,0.00039999999,0.0,0.00100000005,12,1440.0,1284.91003,1.0,1.28100002,0.0700000003,1.09754002,1.73020995,1.46861005,2.95826006,0.0151797002,0.227,1834641784,"FIafFGVdFGZdFGZd",4287554765,3095752802,23.1617298,23.1387672,24.2004337,22.1792126,6.32896662,21.7264938,4.94706583,-0.0907993987,0.00424002996,20180808011433 20180808011209 20180808010904 20180808010655 20180806234454 20180806234235 20180806234027 20180806233818 20180805010904 20180805010639 20180805010422 20180805010214
2489,22,2520,"JNEP-v202106_J0580_swp",260.61,65.78,2902,22.6779995,0.0399999991,8,0.00719999988,0.000500000024,0.0,0.00100000005,12,1440.0,1382.33997,1.0,0.904999971,0.0280000009,0.820043981,0.931900978,0.877615988,2.82981992,0.0396350995,0.227,2506724658,"3YoaAWoU4WoZAWoZ",3101338458,1302786719,24.1976089,23.6156425,24.677309,23.1456528,7.92572641,22.6714325,3.48300838,-0.058225099,0.00197677989,20180720000131 20180719235903 20180719235656 20180719235342 20180719003231 20180719003020 20180719002741 20180719002517 20180714013233 20180714013001 20180714012717 20180714012510
2490,17,2520,"JNEP-v202106_J0530_swp",260.61,65.78,2902,22.25,0.0399999991,8,0.0185000002,0.0013,0.00100000005,0.00200000009,4,480.0,479.440002,1.0,1.25399995,0.0299999993,1.11320996,1.28735006,1.21923006,2.34492993,0.0134701999,0.227,2229824190,"9A4ZH42W9A2WG32W",1896913911,3572320480,22.3880596,22.163044,23.2247105,21.3307266,7.17463446,20.8354225,4.90971756,-0.0724435002,0.00657055015,20190723001506 20190723001254 20190723000947 20190723000640
2491,19,2520,"JNEP-v202106_J0550_swp",260.61,65.78,2902,22.5979996,0.0399999991,8,0.00700000022,0.00039999999,0.0,0.00100000005,40,4800.0,4562.91016,1.0,1.04100001,0.0989999995,0.863668978,1.33241999,1.26593006,2.92157006,0.0536491983,0.227,605996651,"BfaEDZYDBdaDBZYD",3902120482,2874190572,23.750433,23.5662289,24.6278954,22.8289909,7.57891464,22.3336735,4.99141169,-0.078614302,0.00314697996,20180729012844 20180727010731 20180721023852 20180727010525 20180721023634 20180727010308 20180727010103 20180727005856 20180727005651 20180727005422 20180727005216 20180726005541 20180726005209 20180726004956 20180726004520 20180725010441 20180725010236 20180725005946 20180725005741 20180725005521 20180725005316 20180725005024 20180725004819 20180724004751 20180724004536 20180724004305 20180724004040 20180729014336 20180723013311 20180729014131 20180723013019 20180729013915 20180723012742 20180729013710 20180723012520 20180729013500 20180721024344 20180729013255 20180721024130 20180729013049
2492,20,2520,"JNEP-v202106_J0560_swp",260.61,65.78,2902,22.5739994,0.0399999991,8,0.0131000001,0.000899999985,0.0,0.00200000009,12,1440.0,1289.13,1.0,1.08500004,0.0549999997,0.921929002,1.16636002,1.10239995,2.65974998,0.0240276996,0.227,967264836,"BlefCibfBibfBibf",1447790614,1187719056,23.1961765,22.8617954,23.9234619,22.2241917,7.15416431,21.7162914,4.83939981,-0.0742478967,0.00429392979,20190103044348 20190103044135 20190103043905 20190103043619 20180626022152 20180626021935 20180626021729 20180626021414 20180624020444 20180624020227 20180624020017 20180624015349
2493,14,2520,"JNEP-v202106_J0500_swp",260.61,65.78,2902,22.5550003,0.0399999991,8,0.00639999984,0.00039999999,0.0,0.00100000005,14,1680.0,1473.63,1.0,1.30999994,0.0560000017,1.13882995,1.61821997,1.42714,2.63908005,0.00645091012,0.227,3729139321,"UPekaNZhVNbhaNZh",1445504059,2495246224,23.6745853,23.6205235,24.6821899,22.6407013,6.46470118,22.2031422,4.88134909,-0.0879037976,0.00372107001,20180808010220 20180808005944 20180808005736 20180808005413 20180808005154 20180806233521 20180806233222 20180806233011 20180806232804 20180805005806 20180805005600 20180805005340 20180805005128 20180808010427
2497,52,2520,"JNEP-v202106_J0880_swp",260.61,65.78,2902,22.2099991,0.0399999991,8,0.0170000009,0.00120000006,0.0,0.00200000009,16,1920.0,1878.56995,1.0,1.11899996,0.063000001,0.955411017,1.21803999,1.15848005,3.16834998,0.0342875011,0.227,1465083559,"nNWLpLVKnLVKnLVK",3486636517,3153273156,22.4953594,22.2148514,23.2765179,21.614624,6.4491415,21.1413727,4.42327785,-0.0678649992,0.0046031801,20181004213810 20181004213605 20181004213357 20181004213152 20181004212926 20181004212722 20181004212514 20181004212309 20180928231754 20180928231454 20180928231237 20180928231028 20180928214726 20180928214515 20180928214308 20180928214057
2498,15,2520,"JNEP-v202106_J0510_swp",260.61,65.78,2902,22.7159996,0.0399999991,8,0.00579999993,0.00039999999,0.0,0.00100000005,12,1440.0,1351.06995,1.0,0.939999998,0.023,0.844594002,0.985724986,0.90862,2.44440007,0.0405598991,0.227,2435257796,"negZqZdWnddWnZdW",3247710292,3315057632,24.4326763,23.8884048,24.9500694,23.3680668,6.5903616,22.858593,4.59722948,-0.0619127005,0.00221081008,20180719234817 20180719234510 20180719234142 20180719002240 20180719002026 20180719001813 20180719001559 20180714012220 20180714011955 20180714011716 20180714011434 20180719235032
